# Path = P:\doc\MATLAB\WideFieldScan\SimulationOutput
# SampleName = 2009b
# chosen FOV = 4.3 mm
# chosen FOV = 2905 pixels
# actual FOV = 4620 pixels
# DetectorWidth = 1024 pixels
# Exposure Time = 200 ms per Projection
# Magnification = 10 x
# Binning = 2 x 2
# Overlap = 100 pixels
#---
# NumProj InBeamPosition StartAngle StopAngle
#--- Protocol 1/36285 total Proj./279 minutes ---
7257 -2735 0 180
7257 -1367.5 0 180
7257 0 0 180
7257 1367.5 0 180
7257 2735 0 180
#--- Protocol 2/34470 total Proj./264 minutes ---
6894 -2735 0 180
6894 -1367.5 0 180
6894 0 0 180
6894 1367.5 0 180
6894 2735 0 180
#--- Protocol 3/24129 total Proj./186 minutes ---
6894 -2735 0 180
3447 -1367.5 0 180
3447 0 0 180
3447 1367.5 0 180
6894 2735 0 180
#--- Protocol 4/32655 total Proj./249 minutes ---
6531 -2735 0 180
6531 -1367.5 0 180
6531 0 0 180
6531 1367.5 0 180
6531 2735 0 180
#--- Protocol 5/30845 total Proj./234 minutes ---
6169 -2735 0 180
6169 -1367.5 0 180
6169 0 0 180
6169 1367.5 0 180
6169 2735 0 180
#--- Protocol 6/29030 total Proj./224 minutes ---
5806 -2735 0 180
5806 -1367.5 0 180
5806 0 0 180
5806 1367.5 0 180
5806 2735 0 180
#--- Protocol 7/20321 total Proj./158 minutes ---
5806 -2735 0 180
2903 -1367.5 0 180
2903 0 0 180
2903 1367.5 0 180
5806 2735 0 180
#--- Protocol 8/27215 total Proj./209 minutes ---
5443 -2735 0 180
5443 -1367.5 0 180
5443 0 0 180
5443 1367.5 0 180
5443 2735 0 180
#--- Protocol 9/25400 total Proj./194 minutes ---
5080 -2735 0 180
5080 -1367.5 0 180
5080 0 0 180
5080 1367.5 0 180
5080 2735 0 180
#--- Protocol 10/17780 total Proj./137 minutes ---
5080 -2735 0 180
2540 -1367.5 0 180
2540 0 0 180
2540 1367.5 0 180
5080 2735 0 180
#--- Protocol 11/16510 total Proj./128 minutes ---
5080 -2735 0 180
2540 -1367.5 0 180
1270 0 0 180
2540 1367.5 0 180
5080 2735 0 180
#--- Protocol 12/15875 total Proj./123 minutes ---
5080 -2735 0 180
2540 -1367.5 0 180
635 0 0 180
2540 1367.5 0 180
5080 2735 0 180
#--- Protocol 13/13970 total Proj./110 minutes ---
5080 -2735 0 180
1270 -1367.5 0 180
1270 0 0 180
1270 1367.5 0 180
5080 2735 0 180
#--- Protocol 14/13335 total Proj./105 minutes ---
5080 -2735 0 180
1270 -1367.5 0 180
635 0 0 180
1270 1367.5 0 180
5080 2735 0 180
#--- Protocol 15/12065 total Proj./95 minutes ---
5080 -2735 0 180
635 -1367.5 0 180
635 0 0 180
635 1367.5 0 180
5080 2735 0 180
#--- Protocol 16/23585 total Proj./179 minutes ---
4717 -2735 0 180
4717 -1367.5 0 180
4717 0 0 180
4717 1367.5 0 180
4717 2735 0 180
#--- Protocol 17/21770 total Proj./169 minutes ---
4354 -2735 0 180
4354 -1367.5 0 180
4354 0 0 180
4354 1367.5 0 180
4354 2735 0 180
#--- Protocol 18/15239 total Proj./118 minutes ---
4354 -2735 0 180
2177 -1367.5 0 180
2177 0 0 180
2177 1367.5 0 180
4354 2735 0 180
#--- Protocol 19/19955 total Proj./154 minutes ---
3991 -2735 0 180
3991 -1367.5 0 180
3991 0 0 180
3991 1367.5 0 180
3991 2735 0 180
#--- Protocol 20/18145 total Proj./139 minutes ---
3629 -2735 0 180
3629 -1367.5 0 180
3629 0 0 180
3629 1367.5 0 180
